Fecha;Hora;Voltios_L1
12/02/2023;00:43;249.369
12/02/2023;00:43;249.369
12/02/2023;00:43;249.369
12/02/2023;00:43;249.369
12/02/2023;00:43;249.369
12/02/2023;00:43;249.369
12/02/2023;00:43;249.369
12/02/2023;00:43;249.369
12/02/2023;00:43;249.369
12/02/2023;00:43;249.369
12/02/2023;00:43;249.369
12/02/2023;00:43;249.369
12/02/2023;00:43;249.369
12/02/2023;00:43;249.369
12/02/2023;00:43;249.369
12/02/2023;00:43;249.369
12/02/2023;00:43;249.369
12/02/2023;00:43;249.369
12/02/2023;00:43;249.369
12/02/2023;00:43;249.369
12/02/2023;00:43;249.369
12/02/2023;00:43;249.369
12/02/2023;00:43;249.369
12/02/2023;00:43;249.369
12/02/2023;00:43;249.369
12/02/2023;00:43;249.369
12/02/2023;00:43;249.369
12/02/2023;00:43;249.369
12/02/2023;00:43;249.369
12/02/2023;00:43;249.369
12/02/2023;00:43;249.369
12/02/2023;00:43;249.369
12/02/2023;00:43;249.369
12/02/2023;00:43;249.369
12/02/2023;00:43;249.369
12/02/2023;00:43;249.369
12/02/2023;00:43;249.369
12/02/2023;00:43;249.369
12/02/2023;00:43;249.369
12/02/2023;00:43;249.369
12/02/2023;00:43;249.369
12/02/2023;00:43;249.369
12/02/2023;00:43;249.369
12/02/2023;00:43;249.369
12/02/2023;00:43;249.369
12/02/2023;00:43;249.369
12/02/2023;00:43;249.369
12/02/2023;00:43;249.369
12/02/2023;00:43;249.369
12/02/2023;00:43;249.369
12/02/2023;00:43;249.369
12/02/2023;00:43;249.369
12/02/2023;00:43;249.369
12/02/2023;00:43;249.369
12/02/2023;00:43;249.369
12/02/2023;00:43;249.369
12/02/2023;00:43;249.369
12/02/2023;00:43;249.369
12/02/2023;00:43;249.369
12/02/2023;00:43;249.369
12/02/2023;00:43;249.369
12/02/2023;00:43;249.369
12/02/2023;00:43;249.369
12/02/2023;00:43;249.369
12/02/2023;00:43;249.369
12/02/2023;00:43;249.369
12/02/2023;00:43;249.369
12/02/2023;00:43;249.369
12/02/2023;00:43;249.369
12/02/2023;00:43;249.369
12/02/2023;00:43;249.369
12/02/2023;00:43;249.369
12/02/2023;00:43;249.369
12/02/2023;00:43;249.369
12/02/2023;00:43;249.369
12/02/2023;00:43;249.369
12/02/2023;00:43;249.369
12/02/2023;00:43;249.369
12/02/2023;00:43;249.369
12/02/2023;00:43;249.369
12/02/2023;00:43;249.369
12/02/2023;00:43;249.369
12/02/2023;00:43;249.369
12/02/2023;00:43;249.369
12/02/2023;00:43;249.369
12/02/2023;00:43;249.369
12/02/2023;00:43;249.369
12/02/2023;00:43;249.369
12/02/2023;00:43;249.369
12/02/2023;00:43;249.369
12/02/2023;00:43;249.369
12/02/2023;00:43;249.369
12/02/2023;00:43;249.369
12/02/2023;00:43;249.369
12/02/2023;00:43;249.369
12/02/2023;00:43;249.369
12/02/2023;00:43;249.369
12/02/2023;00:43;249.369
12/02/2023;00:43;249.369
12/02/2023;00:43;249.369
12/02/2023;00:43;249.369
12/02/2023;00:43;249.369
12/02/2023;00:43;249.369
12/02/2023;00:43;249.369
12/02/2023;00:43;249.369
12/02/2023;00:43;249.369
12/02/2023;00:43;249.369
12/02/2023;00:43;249.369
12/02/2023;00:43;249.369
12/02/2023;00:43;249.369
12/02/2023;00:43;249.369
12/02/2023;00:43;249.369
12/02/2023;00:43;249.369
12/02/2023;00:43;249.369
12/02/2023;00:43;249.369
12/02/2023;00:43;249.369
12/02/2023;00:43;249.369
12/02/2023;00:43;249.369
12/02/2023;00:43;249.369
12/02/2023;00:43;249.369
12/02/2023;00:43;249.369
12/02/2023;00:43;249.369
12/02/2023;00:43;249.369
12/02/2023;00:43;249.369
12/02/2023;00:43;249.369
12/02/2023;00:43;249.369
12/02/2023;00:43;249.369
12/02/2023;00:43;249.369
12/02/2023;00:43;249.369
12/02/2023;00:43;249.369
12/02/2023;00:43;249.369
12/02/2023;00:43;249.369
12/02/2023;00:43;249.369
12/02/2023;00:43;249.369
12/02/2023;00:43;249.369
12/02/2023;00:43;249.369
12/02/2023;00:43;249.369
12/02/2023;00:43;249.369
12/02/2023;00:43;249.369
12/02/2023;00:43;249.369
12/02/2023;00:43;249.369
12/02/2023;00:43;249.369
12/02/2023;00:43;249.369
12/02/2023;00:43;249.369
12/02/2023;00:43;249.369
12/02/2023;00:43;249.369
12/02/2023;00:43;249.369
12/02/2023;00:43;249.369
12/02/2023;00:43;249.369
12/02/2023;00:43;249.369
12/02/2023;00:43;249.369
12/02/2023;00:43;249.369
12/02/2023;00:43;249.369
12/02/2023;00:43;249.369
12/02/2023;00:43;249.369
12/02/2023;00:43;249.369
12/02/2023;00:43;249.369
12/02/2023;00:43;249.369
12/02/2023;00:43;249.369
12/02/2023;00:43;249.369
12/02/2023;00:43;249.369
12/02/2023;00:43;249.369
12/02/2023;00:43;249.369